,match.homeTeam.name,match.awayTeam.name,venue.name,round.year,round.roundNumber_x,match.matchId,train_data,pred_home_result,pred_home_prob,enter_tips,round.roundNumber_y,homeTeamScore.matchScore.totalScore,awayTeamScore.matchScore.totalScore,result,score_1,score_2,score_3
16,Hawthorn,St Kilda,MCG,2022,4,7,0,0,0.0,pick St Kilda with p=1.0,4,73,142,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
17,Gold Coast Suns,Carlton,Metricon Stadium,2022,4,8,0,0,0.137,pick Carlton with p=0.863,4,92,62,1,0.4436066514756146,-0.6438561897747244,-1.0
18,Brisbane Lions,Collingwood,Gabba,2022,5,0,0,1,1.0,pick Brisbane Lions with p=1.0,5,98,91,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
19,North Melbourne,Western Bulldogs,Marvel Stadium,2022,5,1,0,0,0.035,pick Western Bulldogs with p=0.965,5,71,139,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
20,West Coast Eagles,Sydney Swans,Optus Stadium,2022,5,2,0,0,0.397,pick Sydney Swans with p=0.603,5,58,121,0,-0.3327890875191293,0.27022990723799767,0.27022990723799767
21,St Kilda,Gold Coast Suns,Marvel Stadium,2022,5,3,0,1,1.0,pick St Kilda with p=1.0,5,87,61,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
22,Adelaide Crows,Richmond,Adelaide Oval,2022,5,4,0,0,0.328,pick Richmond with p=0.6719999999999999,5,101,82,1,0.42653313811667315,-0.608232280044003,-0.608232280044003
23,Melbourne,GWS Giants,MCG,2022,5,5,0,1,1.0,pick Melbourne with p=1.0,5,120,53,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
24,Carlton,Port Adelaide,MCG,2022,5,6,0,1,1.0,pick Carlton with p=1.0,5,94,91,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
25,Essendon,Fremantle,Marvel Stadium,2022,5,7,0,1,1.0,pick Essendon with p=1.0,5,59,107,0,-0.6438561897747248,-0.6438561897747248,-1.0
26,Hawthorn,Geelong Cats,MCG,2022,5,8,0,1,1.0,pick Hawthorn with p=1.0,5,92,80,1,0.44360665147561484,0.44360665147561484,0.5849625007211562
27,GWS Giants,St Kilda,Manuka Oval,2022,6,0,0,1,0.833,pick GWS Giants with p=0.833,6,60,77,0,-0.6438561897747248,-0.6438561897747248,-1.0
28,Western Bulldogs,Adelaide Crows,Mars Stadium,2022,6,1,0,0,0.0,pick Adelaide Crows with p=1.0,6,62,63,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
29,Port Adelaide,West Coast Eagles,Adelaide Oval,2022,6,2,0,0,0.0,pick West Coast Eagles with p=1.0,6,117,33,1,0.4436066514756146,-0.6438561897747244,-1.0
30,Fremantle,Carlton,Optus Stadium,2022,6,3,0,0,0.0,pick Carlton with p=1.0,6,97,62,1,0.4436066514756146,-0.6438561897747244,-1.0
31,North Melbourne,Geelong Cats,Blundstone Arena,2022,6,4,0,0,0.0,pick Geelong Cats with p=1.0,6,61,121,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
32,Gold Coast Suns,Brisbane Lions,Metricon Stadium,2022,6,5,0,0,0.427,pick Brisbane Lions with p=0.573,6,80,132,0,-0.2276920250415968,0.19660704409481766,0.19660704409481766
33,Richmond,Melbourne,MCG,2022,6,6,0,0,0.0,pick Melbourne with p=1.0,6,54,76,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
34,Hawthorn,Sydney Swans,University of Tasmania Stadium,2022,6,7,0,0,0.0,pick Sydney Swans with p=1.0,6,68,109,0,-0.6438561897747246,0.4436066514756146,0.5849625007211562
